Run1,Run2,Run3
2047,1300,1700
250,2600,577
950,1950,1601
300,1750,2122
700,1450,300
636,2200,100
114,1500,550
50,1368,1650
100,2432,647
500,950,503
1600,1865,300
600,485,150
2695,1800,300
1355,2400,294
5920,1700,756
1480,950,1300
7151,272,1050
4549,828,650
850,2300,1550
400,4450,1000
600,3800,700
950,1800,1350
1400,2230,262
800,3470,1638
1900,800,200
800,5170,450
1200,430,150
1950,4080,3200
200,5920,1200
2200,1584,2305
850,4020,3646
1950,150,1544
850,1300,2505
610,300,1500
2140,50,4750
1873,600,1500
7527,350,3650
4026,1850,100
712,750,800
150,350,1750
1100,2600,1050
5750,750,3950
1050,1949,450
1912,1201,1300
1673,1850,400
400,100,250
1502,100,800
950,622,400
300,932,1350
858,550,50
34,1757,200
1332,1621,2491
1934,500,9135
250,300,1067
600,700,6957
450,150,2500
1650,950,1984
200,1800,2966
1150,1500,450
1650,1485,2200
250,1165,1150
3850,1232,1800
1400,3679,550
5300,1039,1250
250,1768,900
3978,1582,650
50,1750,1450
416,900,900
834,2250,650
150,1100,500
160,526,300
190,2124,100
100,189,150
200,2419,1107
300,1842,393
100,1150,650
100,3338,100
50,1812,200
700,2350,850
1800,1150,50
650,2800,400
1850,1300,1434
400,1350,816
1400,2000,1400
650,1450,1000
1100,800,450
950,500,1250
1971,1200,1100
929,1300,700
2050,1050,1200
400,94,1250
1650,606,3350
400,450,1900
450,550,250
1800,1400,350
1400,1000,300
600,1150,8092
1100,700,758
4050,150,2100
1500,700,850
2150,350,700
1300,1200,544
550,650,406
50,2900,650
150,300,100
500,1500,18
1000,550,782
1650,2250,350
50,600,1900
50,950,495
2070,1200,2205
1230,900,980
2250,600,1970
100,850,750
1350,400,900
1628,650,400
1872,700,1250
1450,4750,1400
750,1500,50
650,350,1050
900,,100
1350,,1550
500,,150
400,,1200
300,,1650
1800,,41
450,,1409
1350,,1600
100,,1350
350,,350
400,,1750
600,,350
300,,300
2350,,694
100,,606
550,,1363
3500,,737
100,,1138
4800,,112
700,,1150
2219,,1400
631,,700
,,
158 conn,165 conn,142
