Run 1,Run2 ,Run3
28873,30830,30625
33525,30240,30676
32134,31169,30431
30555,30745,30768
31538,30417,30561
30668,30867,29639
30604,30349,31588
30513,30680,30685
29268,23648,30646
31850,21800,30455
30605,21662,30824
30918,21052,30433
30658,49804,30624
30716,41977,30795
21598,31592,30537
27735,33375,30713
24265,30650,28000
22070,30620,20643
53262,30696,20434
33994,30065,22178
30858,31302,37284
30901,30483,44229
29893,30568,41567
31642,30663,30553
29599,30774,30706
31564,30465,30446
30413,30344,29685
30636,31099,30762
30762,30390,31073
29444,29976,31104
31701,31396,30711
30487,30439,30481
28934,30675,30773
32011,30578,30525
30992,30841,30721
30327,30478,30630
31064,30648,30631
30365,30578,30574
30720,30640,30632
30694,28946,30590
30083,32073,30682
31323,30831,30537
29518,30242,30552
31056,30949,30782
31134,30632,30494
30589,30728,30403
30576,30774,30993
29786,30065,30625
30386,31132,30542
31261,30462,30567
30868,30715,30689
30814,29973,30623
30596,31188,30704
30916,30242,30745
30497,31341,30427
30377,30393,30652
30110,30719,30500
31605,30588,30991
30574,30265,30376
30678,30681,30645
30125,30849,30552
29382,30506,30646
32160,30811,30742
29956,30597,30561
31055,30550,30663
30660,30737,30527
30745,30578,30723
30772,30443,30558
29369,30780,30621
30962,30432,30634
31316,30556,30687
31033,30890,30535
29401,20620,30686
31419,26985,30654
30457,24754,30630
30914,18672,30718
30508,45934,30512
30033,30478,30584
19219,33136,30730
23214,40061,30578
22436,35059,24577
17282,29579,23219
52473,31070,20670
9443,30549,16218
8392,12253,
2071,,
