1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175
175,6999,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
,7070,,,,,,,,
,6609,,,,,,,,
,7321,,,,,,,,
,7000,,,,,,,,
,7002,,,,,,,,
,6998,,,,,,,,
,7003,,,,,,,,
,6997,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7000,,,,,,,,
,7210,,,,,,,,
,6790,,,,,,,,
,7078,,,,,,,,
,6964,,,,,,,,
,4333,,,,,,,,
