Run1,Run2,Run3
28765,30534,28235
32333,30714,32842
29403,30604,30480
32143,30559,30928
34716,30730,30214
52751,30454,23936
28196,30725,37426
29928,30589,30909
24013,30674,23971
7005,30695,36965
26044,30617,30742
42404,30632,30309
54557,29923,20466
32874,31241,40995
30604,29981,31014
30647,27848,28833
30946,32332,31778
27809,32438,30981
33307,30677,30715
30416,30340,30751
25396,30731,30061
35571,30740,31264
19648,30060,30445
41989,30042,30775
30471,26842,30355
30534,31928,30959
4712,34176,30004
32647,27656,31248
37372,25300,30277
30187,25441,11782
22660,23836,34275
11884,30346,31183
25270,7161,30221
60823,1379,30607
30452,30499,30641
29939,30709,28480
2770,30686,32794
55892,30599,30557
24979,30465,30626
37603,30768,29861
32580,30646,31682
30863,30616,30891
30774,9739,30332
24805,50977,30869
36337,31096,29988
26836,29341,22136
33891,31938,39601
29744,30031,30049
30513,29910,24085
30400,21249,37544
30312,28845,30519
29585,23053,27390
31136,28605,17913
32325,33747,43019
31375,48449,34178
28021,30686,26285
33498,31062,54876
15502,31187,41795
24567,30750,30278
51922,17472,25012
30601,64717,36501
30431,40264,30721
30414,30169,30434
30637,30356,18372
28789,31161,22187
1714,30269,21571
27651,29811,17222
64391,31926,29002
30684,30639,59042
30448,30602,46650
31195,29286,31065
30157,25788,30507
27651,31132,30222
34201,36196,30791
25337,30862,30452
8953,30572,19075
