1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175,175-175
,,,,,,,,,,44994
,,,,,,,,,,30833
,,,,,,,,,,30513
,,,,,,,,,,30643
,,,,,,,,,,30563
,,,,,,,,,,30712
,,,,,,,,,,30405
,,,,,,,,,,30679
,,,,,,,,,,30766
,,,,,,,,,,30624
,,,,,,,,,,30522
,,,,,,,,,,30503
,,,,,,,,,,30811
,,,,,,,,,,30698
,,,,,,,,,,30363
,,,,,,,,,,30779
,,,,,,,,,,30663
