1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175,175-175
175,7000,9240,11579,14866,14481,19320,23269,25886,23830,32618
175,7000,9545,12285,14962,15357,20125,22739,25610,24124,29489
175,7000,9644,12226,14818,16295,20234,22638,25640,23678,29599
175,7000,9686,12306,14860,17179,19901,23243,25129,30784,32244
175,7000,9572,12224,14886,17359,20125,21150,25371,25731,30316
175,7000,9576,12283,15019,17553,20240,24891,25115,26271,29541
175,7000,9727,12213,14787,17470,20148,21989,25404,27464,30238
176,7000,9625,12268,14808,17750,20169,21710,24481,27025,32044
174,7000,9625,12227,14860,17319,20058,22973,26307,25960,30331
175,7001,9611,12189,14946,17375,20240,23255,25276,29138,31466
175,6999,9639,12311,14807,17466,20019,22933,25663,26568,29899
175,7000,9551,12329,14894,17618,20116,23038,24174,29279,29560
175,7000,9699,12180,14858,17651,20083,22318,26512,28926,31075
175,7000,9557,12278,14948,17265,20167,22416,25386,28895,32895
176,7027,9693,12255,14872,17778,20125,22348,25539,28291,31037
174,6973,9664,12217,14873,17618,20125,23489,24879,29848,31200
175,6961,9586,12250,14880,17104,20125,22785,25536,22997,31859
175,7057,9623,12318,14835,17708,20010,22894,25138,32570,28681
175,6982,9627,12141,14837,17592,20125,22738,25689,28351,30481
175,7000,9590,12353,14893,17406,20240,23569,23891,28628,30121
175,7006,9634,12144,14857,17534,20067,21853,26926,28078,31618
175,6994,9651,12224,14960,17493,20068,22523,26055,28377,30541
176,7000,9625,12390,14798,17692,20183,23791,25078,29483,30394
174,7001,9596,12250,5674,17272,20148,21905,25070,28341,31119
175,6987,9654,12110,11710,17699,20044,22880,24648,28199,31656
175,7004,6875,12270,11604,17374,20240,22975,25845,27242,30383
175,7008,22000,12315,16115,17284,20125,22267,25541,28603,31637
186,6960,9590,12235,26054,17746,20010,22884,25239,28258,25087
164,7040,9660,12250,16490,17409,20125,22857,24723,28738,
176,7000,9616,12204,16515,17591,20240,22986,26267,27642,
174,7000,9638,12296,14585,17497,20160,22590,25086,26875,
175,7000,9511,12245,15126,17553,19586,21695,25637,30463,
175,7000,9735,12253,15151,17335,21097,22990,24581,26328,
175,7000,9515,12322,14599,17268,19656,22452,26073,29153,
175,7000,9734,12260,14254,17993,17744,23828,25760,24993,
,7000,9625,12170,15540,17119,22955,23030,24930,27102,
,6973,9520,12172,14865,17702,6682,22769,25451,29799,
,7027,9728,12210,14923,17233,5900,22252,25480,21205,
,7000,9602,12322,14790,17572,30575,23197,24376,31141,
,7000,9579,12296,14872,17670,31767,22116,24320,27455,
,7000,9697,12232,15054,17737,28099,23500,15607,29005,
,7000,9625,12226,14713,17396,29405,22757,26102,28290,
,7000,9519,12292,14898,17135,26795,22877,28472,28051,
,7007,9731,12244,14849,17720,21464,22538,28325,29331,
,6993,7865,12234,14861,17570,17642,22805,27258,28894,
,6988,20900,12232,14875,17500,22154,21659,26220,26756,
,7044,9735,12336,14878,17206,15854,23006,25660,29476,
,6960,9625,12204,14872,17970,229,23707,26115,27170,
,6528,9625,12254,11985,17163,3523,22604,26332,30512,
,,9625,12254,,17596,27210,22364,25761,26281,
,,9625,10632,,17441,24412,22936,25161,29691,
,,9625,,,,17720,21745,25713,21298,
,,,,,,24753,23425,25375,,
,,,,,,29255,22744,,,
,,,,,,27017,22466,,,
,,,,,,27059,23689,,,
,,,,,,21782,22636,,,
,,,,,,23130,21826,,,
,,,,,,20125,23328,,,
,,,,,,20077,21797,,,
,,,,,,20058,23777,,,
,,,,,,20125,22813,,,
,,,,,,20200,22932,,,
,,,,,,20160,22147,,,
,,,,,,20130,22495,,,
,,,,,,20010,23799,,,
,,,,,,20125,21982,,,
,,,,,,20355,23378,,,
,,,,,,19895,22473,,,
,,,,,,20303,22085,,,
,,,,,,19986,22876,,,
,,,,,,20235,23763,,,
,,,,,,20038,22178,,,
,,,,,,20063,22959,,,
,,,,,,20125,23156,,,
,,,,,,20208,,,,
,,,,,,20042,,,,
,,,,,,20240,,,,
