Run1,Run2,Run3
1600,1200,150
400,1450,550
50,400,900
3160,450,950
490,1200,400
1000,100,50
3150,250,2427
5250,1750,1201
850,1400,10329
4500,5000,1243
3396,1800,950
854,1550,2050
250,3600,650
2700,1250,450
1550,2550,100
350,1700,300
100,2571,400
1750,2979,1900
1250,1500,300
1705,2650,400
3595,1200,800
450,3150,350
1450,1128,350
100,2322,970
450,1050,1380
300,2050,1650
1750,2300,200
3850,2200,750
3350,1150,50
250,2700,200
2981,1600,350
469,1400,630
1970,2850,470
430,550,800
450,2650,300
1350,250,2750
1800,50,250
2600,467,150
730,6533,900
3520,1100,2150
350,4963,650
4331,2937,150
604,1416,150
1915,2684,100
550,1250,11000
250,4250,150
250,1200,800
1700,3200,3350
1200,1250,1650
6900,1800,3200
1150,1200,950
1450,2500,250
1100,1550,6249
801,2650,701
1099,1600,2000
950,1150,1100
800,1700,2600
50,1800,3187
3350,950,2429
3400,750,2785
450,1950,1600
100,800,800
250,2400,100
200,1600,200
350,500,50
200,300,3704
100,3250,4096
1750,1200,2150
900,3600,5550
4900,1500,200
2250,2850,7200
1907,850,700
3393,2350,350
4400,2350,5250
2250,1150,180
1350,2150,330
3300,1300,70
1100,1900,122
3480,750,600
770,750,2200
3800,250,540
200,700,660
6550,150,150
500,1150,800
5943,1155,16450
6107,20745,700
750,500,3900
2900,7000,4150
600,50,1350
1700,700,350
950,300,200
400,200,1650
350,50,3250
1350,150,1500
700,300,4300
600,50,1050
2200,1510,4600
1950,240,1120
1800,750,2380
4150,1250,2500
500,1500,1400
2450,1550,2200
250,450,4000
1600,1850,17182
400,450,618
550,1200,700
550,550,200
400,50,400
850,883,350
200,5267,450
850,700,1350
100,3100,310
50,1000,940
2806,450,300
5194,1300,650
2300,950,400
150,1250,200
250,,1350
100,,100
450,,950
1068,,300
5930,,1950
4952,,1050
2984,,1150
3666,,1250
700,,1045
2700,,1955
2700,,442
250,,608
692,,
308,,
300,,
1550,,
300,,
850,,
1150,,
350,,
200,,
850,,
550,,
2850,,
582,,
2418,,
10305,,
645,,
2000,,
1050,,
1703,,
97,,
2050,,
1360,,
690,,
1050,,
530,,
1920,,
1300,,
850,,
50,,
650,,
350,,
814,,
3836,,
150,,
482,,
468,,
7100,,
1550,,
,,
,,
,,
,,
167 conn,167,150
