Run1,Run2,Run3
25317,26815,25453
9924,23439,25892
11190,27694,25203
7826,28384,25295
12696,27645,23693
19766,27640,25357
15815,24399,25998
25453,15264,25856
23392,20070,25040
24296,27402,25305
26383,28469,25475
25397,28522,25327
26643,28575,14034
25585,27680,12082
25330,28573,10794
26171,28088,15013
22016,27910,24546
25105,27333,24397
24423,27875,24320
25230,28255,21958
26067,22144,26070
25858,25620,26174
25371,27311,25916
26218,27639,25758
25974,27203,24788
25438,28065,25295
25473,28040,24993
25507,23357,24808
14780,27703,25529
21323,21999,25827
25816,24032,25634
21459,23645,26051
21333,27432,25382
20099,27556,25565
23744,28067,22634
21826,23006,25900
23518,21117,24591
25479,9102,26327
23607,4272,25716
26144,11422,24766
25401,23086,24909
21801,26711,25543
24598,27473,24882
21024,27986,24159
24285,29304,23367
25448,24620,21347
24879,25840,25939
25994,25395,24777
25969,23581,23185
24298,25072,26954
25784,25681,25788
25356,23276,19999
25583,25747,15684
23221,26667,25274
27044,26280,22545
24972,23615,25118
25462,25611,17409
26201,23005,25558
19813,23800,24777
25768,15304,25863
25792,19437,21639
26043,20550,26251
24883,17246,25016
21247,11215,25832
22168,13906,25473
25618,22702,25430
25606,23665,25413
25942,24236,25597
24549,22558,25610
21975,28214,25655
25476,27208,22950
24805,28289,26136
25146,27620,25863
23605,27504,22699
25353,26889,25454
,27091,25560
,28176,25579
,28031,25701
,27457,
,27929,
,27389,
,28335,
,24589,
,27057,
,27873,
,28288,
,27324,
,27693,
,27207,
,27777,
,20143,
